//  TRX,STRING,  INT,STRING,#   STRING,     double,   INT,STRING_Ary,STRING_Ary,double_Ary,double_Ary,double_Ary,STRING_Ary,
//RX|TX,mStand,mBand, mPort,#test_Type,input_mVrms,mBurst,     mFreq,     mMode, measPower,      frq1,   BB_freq,mGainReg,,
TX,4G,2,TXRF_HB1,
,,,,ACLR_10MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,ACLR_10MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,ACLR_15MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,ACLR_15MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,ACLR_1p4MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,ACLR_1p4MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,ACLR_20MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,ACLR_20MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,ACLR_3MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,ACLR_3MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,ACLR_5MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,ACLR_5MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_10MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_10MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_15MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_15MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_1p4MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_1p4MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_20MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_20MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_3MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_3MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_5MHz,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,EVM_5MHz_8PHASE,141,1,M,MAX,8,1884.5e6,4.5e6,4,4
,,,,HD,141,2,M,Max,8,1884.5e6,4.5e6,4,2
,,,,,,,M,Max,8,1884.5e6,4.5e6,4,2,
,,,,HD_8PHASE,141,2,M,Max,8,1884.5e6,4.5e6,4,2
,,,,,,,M,Max,8,1884.5e6,4.5e6,4,2,
,,,,POWER,141,4,M,Max,8,1884.5e6,4.5e6,4,2
,,,,,,,3LO,Max,8,5635.5e6,4.5e6,4,2,
,,,,,,,M,Mid,8,1884.5e6,4.5e6,4,6,
,,,,,,,M,Min,-20,1884.5e6,4.5e6,31,16,
,,,,POWER_8PHASE,141,4,M,Max,8,1884.5e6,4.5e6,4,2
,,,,,,,3LO,Max,8,5635.5e6,4.5e6,4,2,
,,,,,,,M,Mid,8,1884.5e6,4.5e6,4,6,
,,,,,,,M,Min,-20,1884.5e6,4.5e6,31,16,
,,,,POWER_APC,141,16,M,MAX,8,1884.5e6,4.5e6,4,1
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,2,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,3,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,4,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,5,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,6,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,7,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,8,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,9,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,10,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,11,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,12,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,13,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,14,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,15,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,16,
,,,,POWER_APC_8PHASE,141,16,M,MAX,8,1884.5e6,4.5e6,4,1
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,2,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,3,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,4,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,5,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,6,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,7,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,8,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,9,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,10,
,,,,,,,M,MAX,8,1884.5e6,4.5e6,4,11,
