"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","FT","FT","FT","FT","FT","QA","QA","QA","QA","QA","","","","","","","",""
"OS_POWER_SHORT","passCurrLimit_uA","20000000","-50","GE","LE","10000","uA","","","","","","2000","OS_POWER_SHORT_FAILED","2","OS_FAILED","","","no",""
"OS_VDD_FUNC","passVolt_mV","20010000","100","GE","LE","800","mV","","","","","","2001","OS_VDD_FUNC_FAILED","2","OS_FAILED","","","no",""
"OS_VDD_PPMU","passVolt_mV","20020000","100","GE","LE","1000","mV","","","","","","2002","OS_VDD_PPMU_FAILED","2","OS_FAILED","","","no",""
"R_CAL","R_CAL","40000000","0","GE","LE","16","","","","","","","4000","R_CAL_FAILED","4","OTHER_FAILED","","","",""
"RC_CAL","RC_CAL","40010000","0","GE","LE","64","","","","","","","4001","RC_CAL_FAILED","4","OTHER_FAILED","","","",""
"FC_LBID_READ","ID","20030000","1","GE","LE","20","","","","","","","2003","FC_LBID_READ_FAILED","2","OS_FAILED","","","no",""
"OS_VSS_FUNC","passVolt_mV","20040000","-800","GE","LE","-100","mV","","","","","","2004","OS_VSS_FUNC_FAILED","2","OS_FAILED","","","no",""
"OS_VSS_PPMU","passVolt_mV","20050000","-1000","GE","LE","-100","mV","","","","","","2005","OS_VSS_PPMU_FAILED","2","OS_FAILED","","","no",""
"OS_VDD_RXPLL","VCOM","20060000","100","GE","LE","800","mV","","","","","","2006","OS_VDD_RXPLL_FAILED","2","OS_FAILED","","","no",""
"OS_VSS_RXPLL","VCOM","20070000","-800","GE","LE","-100","mV","","","","","","2007","OS_VSS_RXPLL_FAILED","2","OS_FAILED","","","no",""
"DC_LDO_RXLO_B_VCOM","VCOM","30000000","800","GE","LE","1200","mV","","","","","","3000","DC_LDO_RXLO_B_VCOM_FAILED","3","DC_FAILED","","","",""
"CHIP_ID_READ","CHIP_ID31","30010000","1","GE","LE","99999","","","","","","","3001","CHIP_ID_READ_FAILED","3","DC_FAILED","","","no",""
"DC_RXA_LB_LNA_VCOM_1","VCOM","30020000","400","GE","LE","800","mV","","","","","","3002","DC_RXA_LB_LNA_VCOM_1_FAILED","3","DC_FAILED","","","",""
"DC_LDO_RXLO_A_VCOM","VCOM","30030000","800","GE","LE","1200","mV","","","","","","3003","DC_LDO_RXLO_A_VCOM_FAILED","3","DC_FAILED","","","",""
"DC_LDO_TX_VCOM","VCOM","30040000","800","GE","LE","1200","mV","","","","","","3004","DC_LDO_TX_VCOM_FAILED","3","DC_FAILED","","","",""
"DC_LDO_MRX_VCOM","VCOM","30050000","200","GE","LE","1200","mV","","","","","","3005","DC_LDO_MRX_VCOM_FAILED","3","DC_FAILED","","","",""
"DC_RXB_VGA_VCOM","VCOM","30060000","400","GE","LE","800","mV","","","","","","3006","DC_RXB_VGA_VCOM_FAILED","3","DC_FAILED","","","",""
"DC_RXB_LPF_VCOM","VCOM","30070000","750","GE","LE","1200","mV","","","","","","3007","DC_RXB_LPF_VCOM_FAILED","3","DC_FAILED","","","",""
"DC_RXB_MB_LNA_VCOM","VCOM","30080000","400","GE","LE","800","mV","","","","","","3008","DC_RXB_MB_LNA_VCOM_FAILED","3","DC_FAILED","","","",""
"DC_RXB_LB_LNA_VCOM","VCOM","30090000","400","GE","LE","800","mV","","","","","","3009","DC_RXB_LB_LNA_VCOM_FAILED","3","DC_FAILED","","","",""
"DC_RXA_VGA_VCOM","VCOM","30100000","400","GE","LE","800","mV","","","","","","3010","DC_RXA_VGA_VCOM_FAILED","3","DC_FAILED","","","",""
"DC_RXA_LPF_VCOM","VCOM","30110000","750","GE","LE","1200","mV","","","","","","3011","DC_RXA_LPF_VCOM_FAILED","3","DC_FAILED","","","",""
"DC_RXA_MB_LNA_VCOM","VCOM","30120000","400","GE","LE","800","mV","","","","","","3012","DC_RXA_MB_LNA_VCOM_FAILED","3","DC_FAILED","","","",""
"DC_RXA_LB_LNA_VCOM","VCOM","30130000","400","GE","LE","800","mV","","","","","","3013","DC_RXA_LB_LNA_VCOM_FAILED","3","DC_FAILED","","","",""
"IBG10U_BIT9","VCOM","40020000","-15","GE","LE","-7","uA","","","","","","4002","IBG10U_BIT9_FAILED","4","OTHER_FAILED","","","",""
"PTAT10U_BIT0","VCOM","40030000","-15","GE","LE","-7","uA","","","","","","4003","PTAT10U_BIT0_FAILED","4","OTHER_FAILED","","","",""
