"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","FT","FT","FT","FT","FT","QA","QA","QA","QA","QA","","","","","","","",""
"OS_POWER_SHORT","passCurrLimit_uA","","-50","GE","LE","1000","uA","","","","","","2011","OS_VSS_PPMU_FAILED","2","OS_FAILED","","","",""
"OS_VDD_FUNC","passVolt_mV","","200","GE","LE","800","mV","","","","","","2011","OS_VSS_PPMU_FAILED","2","OS_FAILED","","","",""
"OS_VDD_PPMU","passVolt_mV","","200","GE","LE","1000","mV","","","","","","2011","OS_VSS_PPMU_FAILED","2","OS_FAILED","","","",""
"R_CAL","R_CAL","","0","GE","LE","16","","","","","","","2020","FC_LBID_READ_FAILED","2","OS_FAILED","","","no",""
"RC_CAL","RC_CAL","","0","GE","LE","64","","","","","","","2020","FC_LBID_READ_FAILED","2","OS_FAILED","","","no",""
"FC_LBID_READ","ID","","1","GE","LE","20","","","","","","","2020","FC_LBID_READ_FAILED","2","OS_FAILED","","","no",""
"OS_VSS_FUNC","passVolt_mV","","-800","GE","LE","-200","mV","","","","","","2011","OS_VSS_PPMU_FAILED","2","OS_FAILED","","","",""
"OS_VSS_PPMU","passVolt_mV","","-1000","GE","LE","-200","mV","","","","","","2011","OS_VSS_PPMU_FAILED","2","OS_FAILED","","","no",""
"OS_VDD_RXPLL","VCOM","","200","GE","LE","800","mV","","","","","","3010","DC_RXA_VCOM_0P5_FAILED","3","DC_FAILED","","","",""
"OS_VSS_RXPLL","VCOM","","-800","GE","LE","-200","mV","","","","","","3010","DC_RXA_VCOM_0P5_FAILED","3","DC_FAILED","","","",""
"DC_LDO_RXLO_B_VCOM","VCOM","","800","GE","LE","1100","mV","","","","","","3010","DC_RXA_VCOM_0P5_FAILED","3","DC_FAILED","","","",""
"CHIP_ID_READ","CHIP_ID31","","1","GE","LE","99999","","","","","","","3000","CHIP_ID_READ_FAILED","3","DC_FAILED","","","no",""
