"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode",,,"FT","FT","FT","FT","FT","QA","QA","QA","QA","QA",,,,,,,,
"OS_POWER_SHORT","passCurrLimit_uA",20010000,-50,"GE","LE",50,"uA",,,,,,2001,"OS_POWER_SHORT_FAILED",2,"OS_FAILED",,,"no",
"OS_VDD_FUNC","passVolt_mV",20020000,200,"GE","LE",800,"mV",,,,,,2002,"OS_VDD_FUNC_FAILED",2,"OS_FAILED",,,,
"OS_VDD_PPMU","passVolt_mV",20030000,200,"GE","LE",800,"mV",,,,,,2003,"OS_VDD_PPMU_FAILED",2,"OS_FAILED",,,"no",
"OS_VSS_FUNC","passVolt_mV",20040000,-800,"GE","LE",-200,"mV",,,,,,2004,"OS_VSS_FUNC_FAILED",2,"OS_FAILED",,,,
"OS_VSS_PPMU","passVolt_mV",20050000,-800,"GE","LE",-200,"mV",,,,,,2005,"OS_VSS_PPMU_FAILED",2,"OS_FAILED",,,"no",
"FC_LBID_READ","ID",20000000,1,"GE","LE",99,,,,,,,2000,"FC_LBID_READ_FAILED",2,"OS_FAILED",,,"no",
"PROD_ID","ProductionID",30010000,18,"GE","LE",18,,,,,,,3001,"PROD_ID_FAILED",3,"DC_FAILED",,,"no",
"MANUFACTURER_ID","ManufacturerID",30010001,168,"GE","LE",168,,,,,,,3001,"MANUFACTURER_ID_FAILED",3,"DC_FAILED",,,"no",
"IIHL","passCurrentLow_uA",30000000,-5,"GE","LE",5,"uA",,,,,,3000,"IIHL_FAILED",3,"DC_FAILED",,,,
"IIHL","passCurrentHigh_uA",30000100,-5,"GE","LE",5,"uA",,,,,,3000,"IIHL_FAILED",3,"DC_FAILED",,,,
"DFT_MAIN","Functional",40300000,1,"GE","LE",1,,,,,,,4030,"DFT_MAIN_FAILED",4,"OTHER_FAILED",,,,
"DFT_RX1","Functional",40310000,1,"GE","LE",1,,,,,,,4031,"DFT_RX1_FAILED",4,"OTHER_FAILED",,,,
"DFT_RX2","Functional",40320000,1,"GE","LE",1,,,,,,,4032,"DFT_RX2_FAILED",4,"OTHER_FAILED",,,,
"DFT_TX","Functional",40330000,1,"GE","LE",1,,,,,,,4033,"DFT_TX_FAILED",4,"OTHER_FAILED",,,,
"DC_RXA_VCOM","passVoltageLimit_mV",30020000,550,"GE","LE",750,,,,,,,3002,"DC_RXA_VCOM_FAILED",3,"DC_FAILED",,,,
"DC_RXB_VCOM","passVoltageLimit_mV",30030000,550,"GE","LE",750,,,,,,,3003,"DC_RXB_VCOM_FAILED",3,"DC_FAILED",,,,
"DC_MRX_VCOM","passVoltageLimit_mV",30040000,200,"GE","LE",400,,,,,,,3004,"DC_MRX_VCOM_FAILED",3,"DC_FAILED",,,,
"DPS_MEAS","VDD1P0_RX1",90000000,-0.5,"GE","LE",5,"mA",,,,,,4000,"DPS_MEAS_FAILED",4,"OTHER_FAILED",,,,
"DPS_MEAS","VDD1P0_RX2",90000000,-0.5,"GE","LE",5,"mA",,,,,,4000,"DPS_MEAS_FAILED",4,"OTHER_FAILED",,,,
"DPS_MEAS","VDD1P0_TX",90000000,-0.5,"GE","LE",5,"mA",,,,,,4000,"DPS_MEAS_FAILED",4,"OTHER_FAILED",,,,
"DPS_MEAS","VDD1P8_TX",90000000,-0.5,"GE","LE",5,"mA",,,,,,4000,"DPS_MEAS_FAILED",4,"OTHER_FAILED",,,,
"DPS_MEAS","VDD1P0_PLL",90000000,-0.5,"GE","LE",5,"mA",,,,,,4000,"DPS_MEAS_FAILED",4,"OTHER_FAILED",,,,
"DPS_MEAS","VDD1P0_TXVCO",90000000,-0.5,"GE","LE",5,"mA",,,,,,4000,"DPS_MEAS_FAILED",4,"OTHER_FAILED",,,,
"DPS_MEAS","VDD1P8_DIG",90000000,-0.5,"GE","LE",5,"mA",,,,,,4000,"DPS_MEAS_FAILED",4,"OTHER_FAILED",,,,
"IDLE_CURRENT","VDD1P0_RX1",40000000,-0.5,"GE","LE",5,"mA",,,,,,4000,"IDLE_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"IDLE_CURRENT","VDD1P0_RX2",40000001,-0.5,"GE","LE",5,"mA",,,,,,4000,"IDLE_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"IDLE_CURRENT","VDD1P0_TX",40000002,-0.5,"GE","LE",5,"mA",,,,,,4000,"IDLE_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"IDLE_CURRENT","VDD1P8_TX",40000003,-0.5,"GE","LE",5,"mA",,,,,,4000,"IDLE_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"IDLE_CURRENT","VDD1P0_PLL",40000004,-0.5,"GE","LE",5,"mA",,,,,,4000,"IDLE_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"IDLE_CURRENT","VDD1P0_TXVCO",40000005,-0.5,"GE","LE",5,"mA",,,,,,4000,"IDLE_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"IDLE_CURRENT","VDD1P8_DIG",40000006,-0.5,"GE","LE",5,"mA",,,,,,4000,"IDLE_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"IDLE_CURRENT","I_PowUp",40000008,0.5,"GE","LE",5,"mA",,,,,,4000,"IDLE_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"DPS_MEAS","I_PowUp",90000000,0.5,"GE","LE",5,"mA",,,,,,4000,"DPS_MEAS_FAILED",4,"OTHER_FAILED",,,,
"SLEEP_CURRENT","VDD1P0_RX1",40020000,-0.05,"GE","LE",0.15,"mA",,,,,,4002,"SLEEP_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"SLEEP_CURRENT","VDD1P0_RX2",40020001,-0.05,"GE","LE",0.15,"mA",,,,,,4002,"SLEEP_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"SLEEP_CURRENT","VDD1P0_TX",40020002,-0.05,"GE","LE",0.15,"mA",,,,,,4002,"SLEEP_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"SLEEP_CURRENT","VDD1P8_TX",40020003,-0.05,"GE","LE",0.15,"mA",,,,,,4002,"SLEEP_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"SLEEP_CURRENT","VDD1P0_PLL",40020004,-0.05,"GE","LE",0.15,"mA",,,,,,4002,"SLEEP_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"SLEEP_CURRENT","VDD1P0_TXVCO",40020005,-0.05,"GE","LE",0.15,"mA",,,,,,4002,"SLEEP_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"SLEEP_CURRENT","VDD1P8_DIG",40020006,-0.05,"GE","LE",0.15,"mA",,,,,,4002,"SLEEP_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"SLEEP_CURRENT","I_PowUp",40020008,0.01,"GE","LE",0.15,"mA",,,,,,4002,"SLEEP_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"STANDBY_CURRENT","VDD1P0_RX1",40030000,-0.5,"GE","LE",2,"mA",,,,,,4003,"STANDBY_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"STANDBY_CURRENT","VDD1P0_RX2",40030001,-0.5,"GE","LE",1,"mA",,,,,,4003,"STANDBY_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"STANDBY_CURRENT","VDD1P0_TX",40030002,-0.5,"GE","LE",25,"mA",,,,,,4003,"STANDBY_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"STANDBY_CURRENT","VDD1P8_TX",40030003,-0.5,"GE","LE",30,"mA",,,,,,4003,"STANDBY_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"STANDBY_CURRENT","VDD1P0_PLL",40030004,-0.5,"GE","LE",2,"mA",,,,,,4003,"STANDBY_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"STANDBY_CURRENT","VDD1P0_TXVCO",40030005,-0.5,"GE","LE",1,"mA",,,,,,4003,"STANDBY_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"STANDBY_CURRENT","VDD1P8_DIG",40030006,-0.5,"GE","LE",5,"mA",,,,,,4003,"STANDBY_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"STANDBY_CURRENT","I_PowUp",40030008,1,"GE","LE",45,"mA",,,,,,4003,"STANDBY_CURRENT_FAILED",4,"OTHER_FAILED",,,,
"RX_EVM_B1_DRX_HB4","EVMrms",50400000,0.01,"GE","LE",5,"per",,,,,,5040,"RX_EVM_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_EVM_B1_DRX_HB4","EVMpeak",50400001,0.01,"GE","LE",89,"per",,,,,,5040,"RX_EVM_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_FILT_B43_DRX_UHB2","FILT_2G_2G_400k_I",50690000,-79,"GE","LE",-13.5,"dB",,,,,,5069,"RX_FILT_B43_DRX_UHB2_FAILED",5,"RX_FAILED",,,,
"RX_FILT_B43_DRX_UHB2","FILT_2G_2G_400k_Q",50700000,-79,"GE","LE",-13.5,"dB",,,,,,5070,"RX_FILT_B43_DRX_UHB2_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_DRX_HB4","GAIN_2G_AGC1_I",52830000,59,"GE","LE",67,"dB",,,,,,5283,"RX_GAIN_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_DRX_HB4","GAIN_2G_AGC1_Q",52830001,59,"GE","LE",67,"dB",,,,,,5283,"RX_GAIN_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_DRX_HB4","GAIN_3G-SC_AGC1_I",52830002,55,"GE","LE",63,"dB",,,,,,5283,"RX_GAIN_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_DRX_HB4","GAIN_3G-SC_AGC1_Q",52830003,55,"GE","LE",63,"dB",,,,,,5283,"RX_GAIN_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_DRX_HB4","GAIN_3G-SC_MAX_I",52830004,58.3,"GE","LE",64.3,"dB",,,,,,5283,"RX_GAIN_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_DRX_HB4","GAIN_3G-SC_MAX_Q",52830005,58.3,"GE","LE",64.3,"dB",,,,,,5283,"RX_GAIN_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_DRX_HB4","GSTEP_3G-SC_LNA_3DB_I",52840000,2,"GE","LE",4,"dB",,,,,,5284,"RX_GAIN_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_DRX_HB4","GSTEP_3G-SC_LNA_42DB_Q",52830007,39,"GE","LE",45,"dB",,,,,,5283,"RX_GAIN_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_DRX_HB4","GAIN_4G_AGC1_I",52830008,51,"GE","LE",59,"dB",,,,,,5283,"RX_GAIN_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_DRX_HB4","GAIN_4G_AGC1_Q",52830009,51,"GE","LE",59,"dB",,,,,,5283,"RX_GAIN_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_TXFB_EXTERNAL","GAIN_I",52850000,6,"GE","LE",12,"dB",,,,,,5285,"RX_GAIN_B1_TXFB_EXTERNAL_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_TXFB_EXTERNAL","GAIN_Q",52850001,6,"GE","LE",12,"dB",,,,,,5285,"RX_GAIN_B1_TXFB_EXTERNAL_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_TXFB_EXTERNAL","GAIN_MID_I",52850002,-10,"GE","LE",15,"dB",,,,,,5285,"RX_GAIN_B1_TXFB_EXTERNAL_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_TXFB_EXTERNAL","GAIN_MID_Q",52850003,-10,"GE","LE",15,"dB",,,,,,5285,"RX_GAIN_B1_TXFB_EXTERNAL_FAILED",5,"RX_FAILED",,,,
"RX_GAIN_B1_TXFB_EXTERNAL","GAIN_MIN_I",52850004,-20,"GE","LE",15,"dB",,,,,,5285,"RX_GAIN_B1_TXFB_EXTERNAL_FAILED",5,"RX_FAILED",,,,
