"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","FT","FT","FT","FT","FT","QA","QA","QA","QA","QA","","","","","","","",""
IIHL,passCurrentLow_uA,30000000,-5,GE,LE,5,uA,,,,,,3000,IIHL_FAILED,3,DC_FAILED,,,,
IIHL,passCurrentHigh_uA,30000001,-5,GE,LE,5,uA,,,,,,3000,IIHL_FAILED,3,DC_FAILED,,,,
CHIP_ID_READ,CHIP_ID,30010000,39968,GE,LE,39968,,,,,,,3001,CHIP_ID_READ_FAILED,3,DC_FAILED,,,no,
DC_RXA_VCOM_0P65,VCOM_I,30020000,550,GE,LE,750,mV,,,,,,3002,DC_RXA_VCOM_0P65_FAILED,3,DC_FAILED,,,,
DC_RXA_VCOM_0P65,VCOM_Q,30020001,550,GE,LE,750,mV,,,,,,3002,DC_RXA_VCOM_0P65_FAILED,3,DC_FAILED,,,,
DC_RXB_VCOM_0P65,VCOM_I,30030000,550,GE,LE,750,mV,,,,,,3003,DC_RXB_VCOM_0P65_FAILED,3,DC_FAILED,,,,
DC_RXB_VCOM_0P65,VCOM_Q,30030001,550,GE,LE,750,mV,,,,,,3003,DC_RXB_VCOM_0P65_FAILED,3,DC_FAILED,,,,
DC_RXC_VCOM_0P65,VCOM_I,30040000,550,GE,LE,750,mV,,,,,,3004,DC_RXC_VCOM_0P65_FAILED,3,DC_FAILED,,,,
DC_RXC_VCOM_0P65,VCOM_Q,30040001,550,GE,LE,750,mV,,,,,,3004,DC_RXC_VCOM_0P65_FAILED,3,DC_FAILED,,,,
DC_RXD_VCOM_0P65,VCOM_I,30050000,550,GE,LE,750,mV,,,,,,3005,DC_RXD_VCOM_0P65_FAILED,3,DC_FAILED,,,,
DC_RXD_VCOM_0P65,VCOM_Q,30050001,550,GE,LE,750,mV,,,,,,3005,DC_RXD_VCOM_0P65_FAILED,3,DC_FAILED,,,,
FC_LBID_READ,ID,20000000,1,GE,LE,20,,,,,,,2000,FC_LBID_READ_FAILED,2,OS_FAILED,,,no,
IDLE_CURRENT,VDD2P4_BIAS,40000000,-0.5,GE,LE,5,mA,,,,,,4000,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P85_TXRF_2,40000001,-0.5,GE,LE,5,mA,,,,,,4000,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P85_RXVCO,40000002,-0.5,GE,LE,5,mA,,,,,,4000,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P29_RX,40000003,-0.5,GE,LE,5,mA,,,,,,4000,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD2P4_RX1VCO,40000004,-0.5,GE,LE,5,mA,,,,,,4000,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P8_IO,40000005,-0.5,GE,LE,5,mA,,,,,,4000,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P29_TX,40000006,-0.5,GE,LE,5,mA,,,,,,4000,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,VDD1P85_TXVCO,40000007,-0.5,GE,LE,5,mA,,,,,,4000,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
IDLE_CURRENT,I_PowUp,40000008,2,GE,LE,5,mA,,,,,,4000,IDLE_CURRENT_FAILED,4,OTHER_FAILED,,,,
OS_POWER_SHORT,passCurrLimit_uA,20010000,-80,GE,LE,80,uA,,,,,,2001,OS_POWER_SHORT_FAILED,2,OS_FAILED,,,no,
OS_VDD_FUNC,passVolt_mV,20020000,200,GE,LE,800,mV,,,,,,2002,OS_VDD_FUNC_FAILED,2,OS_FAILED,,,,
OS_VDD_PPMU,passVolt_mV,20030000,200,GE,LE,800,mV,,,,,,2003,OS_VDD_PPMU_FAILED,2,OS_FAILED,,,no,
OS_VSS_FUNC,passVolt_mV,20040000,-800,GE,LE,-200,mV,,,,,,2004,OS_VSS_FUNC_FAILED,2,OS_FAILED,,,,
OS_VSS_PPMU,passVolt_mV,20050000,-800,GE,LE,-200,mV,,,,,,2005,OS_VSS_PPMU_FAILED,2,OS_FAILED,,,no,
RCAL_READ_REG30,Reg30,40010000,0,GE,LE,46000,,,,,,,4001,RCAL_READ_REG30_FAILED,4,OTHER_FAILED,,,,
RX_2G_B2_HB_IDD,VDD2P4_BIAS,50000000,0,GE,LE,80,mA,,,,,,5000,RX_2G_B2_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B2_HB_IDD,VDD1P85_TXRF_2,50000001,-0.5,GE,LE,80,mA,,,,,,5000,RX_2G_B2_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B2_HB_IDD,VDD1P85_RXVCO,50000002,-0.5,GE,LE,80,mA,,,,,,5000,RX_2G_B2_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B2_HB_IDD,VDD1P29_RX,50000003,0,GE,LE,80,mA,,,,,,5000,RX_2G_B2_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B2_HB_IDD,VDD2P4_RX1VCO,50000004,0,GE,LE,80,mA,,,,,,5000,RX_2G_B2_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B2_HB_IDD,VDD1P8_IO,50000005,-0.5,GE,LE,80,mA,,,,,,5000,RX_2G_B2_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B2_HB_IDD,VDD1P29_TX,50000006,-0.5,GE,LE,80,mA,,,,,,5000,RX_2G_B2_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B2_HB_IDD,VDD1P85_TXVCO,50000007,-0.5,GE,LE,80,mA,,,,,,5000,RX_2G_B2_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B2_HB_IDD,I_PowUp,50000008,50,GE,LE,80,mA,,,,,,5000,RX_2G_B2_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B8_LB_IDD,VDD2P4_BIAS,50010000,0,GE,LE,80,mA,,,,,,5001,RX_2G_B8_LB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B8_LB_IDD,VDD1P85_TXRF_2,50010001,-0.5,GE,LE,80,mA,,,,,,5001,RX_2G_B8_LB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B8_LB_IDD,VDD1P85_RXVCO,50010002,-0.5,GE,LE,80,mA,,,,,,5001,RX_2G_B8_LB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B8_LB_IDD,VDD1P29_RX,50010003,0,GE,LE,80,mA,,,,,,5001,RX_2G_B8_LB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B8_LB_IDD,VDD2P4_RX1VCO,50010004,0,GE,LE,80,mA,,,,,,5001,RX_2G_B8_LB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B8_LB_IDD,VDD1P8_IO,50010005,-0.5,GE,LE,80,mA,,,,,,5001,RX_2G_B8_LB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B8_LB_IDD,VDD1P29_TX,50010006,-0.5,GE,LE,80,mA,,,,,,5001,RX_2G_B8_LB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B8_LB_IDD,VDD1P85_TXVCO,50010007,-0.5,GE,LE,80,mA,,,,,,5001,RX_2G_B8_LB_IDD_FAILED,5,RX_FAILED,,,,
RX_2G_B8_LB_IDD,I_PowUp,50010008,50,GE,LE,80,mA,,,,,,5001,RX_2G_B8_LB_IDD_FAILED,5,RX_FAILED,,,,
RX_3GFDD_B1_HB_IDD,VDD2P4_BIAS,50020000,-0.5,GE,LE,80,mA,,,,,,5002,RX_3GFDD_B1_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_3GFDD_B1_HB_IDD,VDD1P85_TXRF_2,50020001,-0.5,GE,LE,80,mA,,,,,,5002,RX_3GFDD_B1_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_3GFDD_B1_HB_IDD,VDD1P85_RXVCO,50020002,-0.5,GE,LE,80,mA,,,,,,5002,RX_3GFDD_B1_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_3GFDD_B1_HB_IDD,VDD1P29_RX,50020003,-0.5,GE,LE,80,mA,,,,,,5002,RX_3GFDD_B1_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_3GFDD_B1_HB_IDD,VDD2P4_RX1VCO,50020004,-0.5,GE,LE,80,mA,,,,,,5002,RX_3GFDD_B1_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_3GFDD_B1_HB_IDD,VDD1P8_IO,50020005,-0.5,GE,LE,80,mA,,,,,,5002,RX_3GFDD_B1_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_3GFDD_B1_HB_IDD,VDD1P29_TX,50020006,-0.5,GE,LE,80,mA,,,,,,5002,RX_3GFDD_B1_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_3GFDD_B1_HB_IDD,VDD1P85_TXVCO,50020007,-0.5,GE,LE,80,mA,,,,,,5002,RX_3GFDD_B1_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_3GFDD_B1_HB_IDD,I_PowUp,50020008,50,GE,LE,80,mA,,,,,,5002,RX_3GFDD_B1_HB_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_1RX_IDD,VDD2P4_BIAS,50030000,0,GE,LE,50,mA,,,,,,5003,RX_3GTDD_B34_HB_1RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_1RX_IDD,VDD1P85_TXRF_2,50030001,-0.5,GE,LE,50,mA,,,,,,5003,RX_3GTDD_B34_HB_1RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_1RX_IDD,VDD1P85_RXVCO,50030002,0,GE,LE,50,mA,,,,,,5003,RX_3GTDD_B34_HB_1RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_1RX_IDD,VDD1P29_RX,50030003,0,GE,LE,50,mA,,,,,,5003,RX_3GTDD_B34_HB_1RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_1RX_IDD,VDD2P4_RX1VCO,50030004,0,GE,LE,50,mA,,,,,,5003,RX_3GTDD_B34_HB_1RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_1RX_IDD,VDD1P8_IO,50030005,-0.5,GE,LE,50,mA,,,,,,5003,RX_3GTDD_B34_HB_1RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_1RX_IDD,VDD1P29_TX,50030006,-0.5,GE,LE,50,mA,,,,,,5003,RX_3GTDD_B34_HB_1RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_1RX_IDD,VDD1P85_TXVCO,50030007,-0.5,GE,LE,50,mA,,,,,,5003,RX_3GTDD_B34_HB_1RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_1RX_IDD,I_PowUp,50030008,20,GE,LE,50,mA,,,,,,5003,RX_3GTDD_B34_HB_1RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_2RX_IDD,VDD2P4_BIAS,50040000,0,GE,LE,100,mA,,,,,,5004,RX_3GTDD_B34_HB_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_2RX_IDD,VDD1P85_TXRF_2,50040001,-0.5,GE,LE,100,mA,,,,,,5004,RX_3GTDD_B34_HB_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_2RX_IDD,VDD1P85_RXVCO,50040002,0,GE,LE,100,mA,,,,,,5004,RX_3GTDD_B34_HB_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_2RX_IDD,VDD1P29_RX,50040003,0,GE,LE,100,mA,,,,,,5004,RX_3GTDD_B34_HB_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_2RX_IDD,VDD2P4_RX1VCO,50040004,0,GE,LE,100,mA,,,,,,5004,RX_3GTDD_B34_HB_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_2RX_IDD,VDD1P8_IO,50040005,-0.5,GE,LE,100,mA,,,,,,5004,RX_3GTDD_B34_HB_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_2RX_IDD,VDD1P29_TX,50040006,-0.5,GE,LE,100,mA,,,,,,5004,RX_3GTDD_B34_HB_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_2RX_IDD,VDD1P85_TXVCO,50040007,-0.5,GE,LE,100,mA,,,,,,5004,RX_3GTDD_B34_HB_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_3GTDD_B34_HB_2RX_IDD,I_PowUp,50040008,20,GE,LE,100,mA,,,,,,5004,RX_3GTDD_B34_HB_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_4G20M_B7_MRX_HB6_2RX_IDD,VDD2P4_BIAS,50050000,0,GE,LE,140,mA,,,,,,5005,RX_4G20M_B7_MRX_HB6_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_4G20M_B7_MRX_HB6_2RX_IDD,VDD1P85_TXRF_2,50050001,-0.5,GE,LE,140,mA,,,,,,5005,RX_4G20M_B7_MRX_HB6_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_4G20M_B7_MRX_HB6_2RX_IDD,VDD1P85_RXVCO,50050002,0,GE,LE,140,mA,,,,,,5005,RX_4G20M_B7_MRX_HB6_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_4G20M_B7_MRX_HB6_2RX_IDD,VDD1P29_RX,50050003,0,GE,LE,140,mA,,,,,,5005,RX_4G20M_B7_MRX_HB6_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_4G20M_B7_MRX_HB6_2RX_IDD,VDD2P4_RX1VCO,50050004,0,GE,LE,140,mA,,,,,,5005,RX_4G20M_B7_MRX_HB6_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_4G20M_B7_MRX_HB6_2RX_IDD,VDD1P8_IO,50050005,-0.5,GE,LE,140,mA,,,,,,5005,RX_4G20M_B7_MRX_HB6_2RX_IDD_FAILED,5,RX_FAILED,,,,
RX_4G20M_B7_MRX_HB6_2RX_IDD,VDD1P29_TX,50050006,-0.5,GE,LE,140,mA,,,,,,5005,RX_4G20M_B7_MRX_HB6_2RX_IDD_FAILED,5,RX_FAILED,,,,
